User_ID,Age,Gender,Platform,Daily_Usage_Time (minutes),Late_Night_Usage (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Notifications_per_Day,Dominant_Emotion
146,,Male,Instagram,175,144,7,100,33,38,61,Positive
147,21,Female,Twitter,90,45,3,37,14,20,71,Negative
148,26,Female,Facebook,75,35,2,30,12,18,98,Negative
149,32,Male,Instagram,130,112,,80,,31,149,Positive
150,28,Female,LinkedIn,55,40,1,12,6,10,15,Positive
151,27,Male,Instagram,165,95,6,85,30,,219,Positive
152,24,Female,Twitter,75,60,3,33,18,,162,Negative
153,29,Male,Facebook,85,34,2,27,9,20,236,Positive
154,33,Female,Instagram,145,116,4,65,23,35,146,Negative
155,31,Male,LinkedIn,60,44,1,15,7,,235,Negative
156,22,Female,Whatsapp,70,35,2,42,,21,92,Negative
157,25,Male,Telegram,90,85,3,22,11,22,77,Positive
158,29,Female,Snapchat,50,25,2,18,,18,219,Negative
159,28,Female,Twitter,95,55,4,48,22,25,192,Positive
160,27,Male,Facebook,60,25,1,12,5,15,28,Positive
161,30,Female,Instagram,175,0,6,72,,33,76,Positive
162,23,Male,,70,50,3,22,10,18,183,Negative
163,34,Male,Telegram,80,48,2,21,8,20,126,Positive
164,,Female,Snapchat,120,84,4,55,18,30,84,Negative
165,25,Male,Twitter,90,144,,42,14,26,109,Negative
166,29,Female,,60,133,1,12,,12,172,Positive
167,28,Male,Instagram,165,102,5,78,23,35,162,Positive
168,31,Female,Whatsapp,65,20,2,27,10,20,236,Positive
169,27,Male,Telegram,105,10,3,48,20,28,117,Negative
170,22,Female,Snapchat,75,65,2,21,8,20,145,Negative
171,24,,Instagram,140,124,4,65,22,30,184,Positive
172,35,Male,Twitter,70,52,1,13,8,10,77,Positive
173,21,Male,Facebook,55,112,3,17,7,12,190,Positive
174,29,Female,Whatsapp,90,69,2,24,12,22,40,Negative
175,25,Male,Telegram,80,144,4,30,13,25,48,Positive
176,,Female,Snapchat,115,150,3,38,18,27,191,Negative
177,32,Female,Instagram,155,61,6,75,25,38,159,Positive
178,26,Male,Twitter,75,169,2,23,12,18,185,Negative
179,33,Male,Facebook,65,45,1,13,7,14,21,Negative
180,27,Female,Whatsapp,90,35,4,37,18,20,140,Positive
181,31,Male,Telegram,50,63,2,20,10,12,241,Negative
182,24,Female,Snapchat,85,25,3,33,,18,149,Positive
183,34,Female,Instagram,,102,5,60,25,25,93,Negative
184,,Male,Twitter,70,49,1,22,7,22,203,Positive
185,29,Male,Facebook,75,0,,20,8,20,191,Positive
186,28,Female,Whatsapp,100,47,4,37,14,26,66,Negative
187,31,Male,Telegram,85,65,3,45,20,28,97,Negative
188,21,Female,Snapchat,60,40,1,18,7,12,114,Positive
189,25,Female,Instagram,170,72,6,83,30,33,63,Positive
190,,Male,Twitter,,172,2,30,12,20,30,Negative
191,27,Male,Facebook,50,35,1,10,4,10,214,Positive
192,32,Female,Whatsapp,105,75,4,55,25,25,61,Negative
193,24,Male,Telegram,75,25,3,37,16,22,164,Positive
194,29,Female,Snapchat,,41,2,23,10,28,38,Negative
195,26,Male,Instagram,150,97,5,70,25,30,213,Negative
196,33,,Twitter,85,40,4,35,18,18,14,Positive
197,22,Female,Facebook,70,81,1,14,6,10,215,Positive
198,35,Male,Whatsapp,110,31,3,50,25,,194,Positive
199,28,Male,Telegram,60,20,2,18,8,,14,Negative
200,27,Female,,120,0,4,40,18,22,39,Positive
201,25,Female,Instagram,120,39,5,50,20,25,222,Positive
202,30,Male,Twitter,90,46,4,30,20,22,41,Negative
203,22,Male,Facebook,60,45,,20,,15,67,Positive
204,28,Female,Instagram,200,135,8,110,40,45,192,Negative
205,33,Male,LinkedIn,45,30,1,,5,12,18,Positive
206,21,,Instagram,150,70,5,65,25,30,24,Positive
207,27,Female,Twitter,85,30,,40,18,20,33,Negative
208,,Female,Facebook,110,50,,35,16,25,27,Negative
209,29,Female,LinkedIn,55,0,2,15,5,10,224,Positive
210,31,Male,Instagram,170,151,7,,35,40,112,Positive
211,23,Female,Twitter,75,35,4,,20,25,155,Negative
212,26,Female,Facebook,,114,3,,14,18,212,Negative
213,,Male,LinkedIn,65,45,1,14,6,15,135,Positive
214,22,Female,Instagram,180,128,8,100,38,45,106,Positive
215,28,Male,Twitter,100,65,6,50,30,29,246,Negative
216,21,Female,Facebook,40,30,1,10,,12,74,Positive
217,35,Female,Instagram,125,70,,65,22,28,196,Negative
218,27,Male,Twitter,90,110,3,40,16,24,34,Negative
219,23,,LinkedIn,50,16,1,12,6,12,32,Positive
220,32,Female,,140,0,6,75,28,30,191,Positive
221,,Male,Facebook,75,40,2,30,,20,129,Negative
222,24,Female,Twitter,105,65,4,35,20,23,243,Negative
223,29,Male,LinkedIn,60,20,,17,8,15,138,Positive
224,33,Female,Instagram,190,174,8,105,36,50,185,Positive
225,22,Female,Twitter,70,50,3,25,16,15,159,Negative
226,31,Male,Facebook,80,60,2,20,10,20,217,Positive
227,27,Male,LinkedIn,55,40,1,12,5,11,243,Negative
228,,Female,Instagram,160,27,6,85,26,30,188,Positive
229,30,Male,Twitter,90,84,4,43,19,24,73,Negative
230,26,Female,Facebook,45,25,1,8,4,12,62,Negative
231,,Female,LinkedIn,65,45,2,17,5,14,223,Positive
232,28,Male,Instagram,145,0,7,80,30,35,186,Positive
233,23,Male,Twitter,70,0,3,30,14,18,156,Positive
234,21,Female,Instagram,130,47,6,,22,28,10,Negative
235,29,Male,Facebook,65,35,2,27,11,22,41,Negative
236,24,Female,LinkedIn,55,30,1,11,6,11,21,Positive
237,,Female,Instagram,170,98,7,95,30,38,161,Positive
238,27,Male,Twitter,85,19,4,,18,24,203,Negative
239,22,Female,Instagram,115,98,3,,17,30,196,Positive
240,28,,Facebook,100,0,2,22,12,25,41,Negative
241,31,,LinkedIn,45,25,1,9,4,10,19,Negative
242,25,Female,Instagram,150,45,6,90,26,,182,Positive
243,29,Male,Twitter,95,46,4,50,22,22,52,Negative
244,23,Female,Facebook,105,40,2,25,12,18,100,Positive
245,,Female,LinkedIn,60,51,1,15,7,14,61,Positive
246,30,Male,Instagram,175,98,7,100,33,38,134,Positive
247,21,Female,Twitter,90,83,3,37,14,20,93,Negative
248,,Female,Facebook,75,95,2,30,12,18,153,Negative
249,32,Male,Instagram,130,40,5,80,28,,105,Positive
250,28,Female,LinkedIn,,138,1,12,6,10,124,Positive
251,27,Male,Instagram,165,53,6,,30,28,123,Positive
252,24,Female,Twitter,75,0,3,33,18,19,201,Negative
253,29,Male,Facebook,85,55,2,27,9,20,197,Positive
254,33,Female,Instagram,145,131,4,65,23,35,20,Negative
255,,Male,LinkedIn,,99,1,15,7,17,136,Negative
256,22,Female,Whatsapp,70,60,2,42,10,21,185,Negative
257,25,Male,,90,45,3,22,11,22,46,Positive
258,29,Female,Snapchat,50,0,2,18,7,18,236,Negative
259,28,,,95,48,4,48,22,25,45,Positive
260,27,Male,Facebook,60,11,1,12,,15,20,Positive
261,30,Female,Instagram,175,110,6,72,30,33,47,Positive
262,23,Male,Whatsapp,70,65,,22,10,,214,Negative
263,34,Male,Telegram,80,204,2,,8,20,186,Positive
264,26,Female,Snapchat,120,91,4,55,18,30,17,Negative
265,25,,,90,77,6,42,14,26,238,Negative
266,29,Female,Facebook,60,35,1,12,4,12,65,Positive
267,28,Male,Instagram,165,50,5,78,23,35,159,Positive
268,31,Female,Whatsapp,65,31,2,27,10,20,52,Positive
269,27,Male,Telegram,105,85,3,48,20,28,190,Negative
270,22,Female,Snapchat,75,64,2,21,8,20,40,Negative
271,24,Female,,,143,4,65,22,30,11,Positive
272,35,Male,,70,30,1,13,8,,127,Positive
273,21,Male,Facebook,55,30,3,17,7,12,234,Positive
274,29,,Whatsapp,,94,2,24,12,22,57,Negative
275,25,Male,Telegram,80,55,4,30,13,25,75,Positive
276,28,Female,Snapchat,115,112,3,38,18,27,87,Negative
277,32,Female,Instagram,155,69,6,75,25,38,238,Positive
278,26,Male,Twitter,75,0,2,23,12,18,144,Negative
279,,Male,Facebook,65,30,1,13,7,14,104,Negative
280,27,,Whatsapp,90,65,4,37,18,20,201,Positive
281,31,Male,Telegram,50,16,2,20,10,12,189,Negative
282,24,Female,Snapchat,85,132,,33,20,,244,Positive
283,34,Female,Instagram,120,69,5,60,25,25,69,Negative
284,22,Male,Twitter,70,0,,22,7,22,21,Positive
285,29,Male,Facebook,75,25,2,20,8,20,147,Positive
286,28,Female,Whatsapp,100,54,4,37,14,26,180,Negative
287,31,Male,Telegram,85,0,3,45,20,,71,Negative
288,21,Female,Snapchat,60,30,1,18,7,12,216,Positive
289,25,Female,Instagram,,33,6,83,30,33,154,Positive
290,30,Male,Twitter,70,25,2,30,12,20,162,Negative
291,27,Male,Facebook,50,42,,10,4,10,219,Positive
292,32,Female,Whatsapp,105,85,4,55,25,25,179,Negative
293,24,Male,Telegram,75,55,3,37,,,198,Positive
294,29,Female,Snapchat,95,60,2,23,10,28,30,Negative
295,26,Male,Instagram,150,49,5,70,25,30,229,Negative
296,33,Female,Twitter,85,65,4,35,18,18,169,Positive
297,22,Female,Facebook,70,117,1,14,6,10,238,Positive
298,35,Male,Whatsapp,,70,3,50,25,25,176,Positive
299,28,Male,Telegram,60,45,2,,8,18,239,Negative
300,27,Female,Snapchat,120,35,4,40,18,22,214,Positive
301,25,Female,Instagram,120,21,5,50,20,25,12,Positive
302,30,Male,Twitter,90,85,4,30,20,22,216,Negative
303,22,Male,Facebook,60,25,2,20,10,15,114,Positive
304,28,Female,Instagram,200,113,,110,40,45,203,Negative
305,33,Male,LinkedIn,45,35,1,,5,12,66,Positive
306,21,Male,Instagram,150,90,5,65,25,30,125,Positive
307,27,Female,Twitter,,20,3,40,18,20,84,Negative
308,24,,,110,80,,35,16,25,85,Negative
309,29,,LinkedIn,55,45,2,15,5,10,234,Positive
310,31,Male,Instagram,170,163,7,90,35,40,181,Positive
311,23,Female,Twitter,75,35,4,45,20,25,149,Negative
312,26,Female,Facebook,95,107,3,30,14,18,175,Negative
313,34,Male,,65,25,1,14,6,15,84,Positive
314,22,,Instagram,180,133,8,100,38,45,169,Positive
315,28,Male,Twitter,100,45,6,50,30,29,175,Negative
316,21,Female,Facebook,40,20,1,10,4,12,82,Positive
317,35,Female,Instagram,125,98,5,65,22,28,206,Negative
318,27,,Twitter,90,1,3,40,16,24,212,Negative
319,23,Male,LinkedIn,50,44,,12,6,12,67,Positive
320,32,Female,Instagram,140,125,6,75,28,30,164,Positive
321,26,Male,Facebook,75,0,2,30,14,20,38,Negative
322,24,Female,Twitter,105,95,4,35,20,23,69,Negative
323,29,Male,LinkedIn,60,45,2,17,8,,217,Positive
324,33,Female,Instagram,190,111,8,105,36,50,99,Positive
325,22,Female,Twitter,70,0,3,25,,15,55,Negative
326,31,Male,Facebook,80,0,2,20,10,20,208,Positive
327,27,Male,,55,45,1,12,5,11,227,Negative
328,25,Female,,160,96,6,85,,30,80,Positive
329,,Male,Twitter,90,25,4,43,19,24,105,Negative
330,26,Female,Facebook,45,25,1,8,4,12,67,Negative
331,34,Female,,65,35,2,17,5,14,136,Positive
332,28,Male,Instagram,145,0,7,80,30,35,129,Positive
333,23,Male,Twitter,70,30,3,30,14,18,69,Positive
334,21,Female,,130,50,6,95,22,28,178,Negative
335,29,Male,Facebook,65,30,2,27,11,22,75,Negative
336,24,Female,LinkedIn,55,45,1,11,6,11,70,Positive
337,33,Female,Instagram,170,58,7,95,,38,229,Positive
338,27,Male,Twitter,,169,4,45,18,24,107,Negative
339,22,Female,Instagram,115,157,3,60,17,30,84,Positive
340,28,Female,Facebook,100,0,2,22,12,25,154,Negative
341,,,LinkedIn,45,20,1,9,4,10,203,Negative
342,25,Female,Instagram,150,48,6,90,26,30,167,Positive
343,29,Male,Twitter,,199,4,50,22,22,34,Negative
344,23,Female,Facebook,105,19,2,25,12,18,245,Positive
345,35,Female,LinkedIn,60,35,1,15,,14,203,Positive
346,30,Male,Instagram,175,59,7,100,33,38,124,Positive
347,21,Female,Twitter,90,82,3,37,14,20,174,Negative
348,26,Female,,75,50,2,30,12,18,131,Negative
349,32,,Instagram,130,50,5,80,28,31,232,Positive
350,28,Female,LinkedIn,55,25,1,12,6,10,241,Positive
351,27,Male,Instagram,165,107,6,85,30,28,129,Positive
352,24,Female,Twitter,75,65,3,33,18,19,203,Negative
353,29,Male,Facebook,85,70,2,27,9,20,186,Positive
354,33,Female,Instagram,145,65,4,65,23,35,93,Negative
355,31,Male,LinkedIn,60,35,1,15,,17,226,Negative
356,22,Female,Whatsapp,70,35,2,42,,21,76,Negative
357,25,Male,Telegram,90,59,3,22,11,22,239,Positive
358,29,Female,Snapchat,50,49,2,18,7,18,89,Negative
359,28,Female,Twitter,95,19,4,48,22,25,241,Positive
360,27,Male,Facebook,60,25,1,12,5,15,47,Positive
361,30,Female,Instagram,175,98,6,72,30,33,103,Positive
362,23,,Whatsapp,70,20,3,22,10,18,237,Negative
363,34,Male,Telegram,80,121,2,,,20,237,Positive
364,26,Female,,120,17,4,55,18,30,188,Negative
365,25,Male,Twitter,90,55,6,42,14,26,86,Negative
366,29,Female,Facebook,,107,1,,4,12,189,Positive
367,28,Male,Instagram,165,149,5,,23,35,77,Positive
368,,Female,Whatsapp,65,35,2,27,10,20,122,Positive
369,27,Male,Telegram,105,43,3,48,20,28,12,Negative
370,,Female,Snapchat,75,72,,21,8,20,35,Negative
371,24,Female,Instagram,140,0,4,65,22,30,121,Positive
372,35,Male,Twitter,,102,1,13,8,10,73,Positive
373,21,Male,Facebook,55,20,3,17,7,12,80,Positive
374,,Female,Whatsapp,90,40,2,24,,22,50,Negative
375,25,Male,Telegram,80,0,4,30,13,25,227,Positive
376,28,,Snapchat,115,86,3,38,18,27,139,Negative
377,32,Female,Instagram,155,74,6,75,25,38,211,Positive
378,26,Male,Twitter,75,22,2,23,12,18,107,Negative
379,33,Male,Facebook,,11,1,13,7,14,247,Negative
380,27,Female,Whatsapp,90,27,4,37,,20,100,Positive
381,31,Male,Telegram,50,40,2,20,10,12,143,Negative
382,24,Female,Snapchat,85,35,,33,20,,20,Positive
383,34,Female,Instagram,120,12,5,60,25,25,33,Negative
384,22,Male,Twitter,70,25,1,22,7,22,194,Positive
385,29,Male,Facebook,75,45,2,20,8,20,221,Positive
386,28,Female,Whatsapp,100,85,4,37,14,26,133,Negative
387,31,,Telegram,85,8,3,45,20,28,49,Negative
388,21,Female,Snapchat,60,58,1,18,7,12,185,Positive
389,25,Female,Instagram,170,12,,83,30,33,194,Positive
390,30,Male,Twitter,70,30,,30,12,20,85,Negative
391,,Male,Facebook,50,35,1,10,4,10,169,Positive
392,32,Female,Whatsapp,105,87,4,55,25,25,160,Negative
393,24,Male,Telegram,75,0,3,37,16,22,214,Positive
394,,Female,Snapchat,95,70,2,23,10,28,174,Negative
395,26,Male,Instagram,150,65,5,70,25,30,37,Negative
396,33,Female,,,170,4,35,18,18,101,Positive
397,22,Female,Facebook,70,50,1,14,6,10,55,Positive
398,,Male,,110,55,3,50,25,25,141,Positive
399,28,Male,Telegram,60,40,2,18,8,18,160,Negative
400,27,Female,Snapchat,120,80,4,40,18,22,211,Positive
401,25,Female,Instagram,120,70,5,50,20,25,60,Positive
402,30,Male,Twitter,90,49,4,30,20,22,196,Negative
403,22,Male,Facebook,60,58,2,20,10,15,245,Positive
404,28,Female,Instagram,200,72,8,110,40,45,99,Negative
405,33,Male,LinkedIn,45,15,1,10,5,12,166,Positive
406,21,Male,Instagram,150,100,5,65,25,30,115,Positive
407,27,Female,Twitter,85,65,,40,18,20,27,Negative
408,24,Female,Facebook,110,19,6,35,16,25,194,Negative
409,29,Female,LinkedIn,55,25,2,15,5,,44,Positive
410,31,Male,Instagram,170,79,7,90,35,40,183,Positive
411,23,,Twitter,75,0,4,45,20,25,194,Negative
412,26,Female,Facebook,95,68,3,30,14,18,153,Negative
413,34,,LinkedIn,65,25,1,14,6,15,58,Positive
414,22,,Instagram,180,120,8,100,38,45,46,Positive
415,28,Male,Twitter,100,30,6,50,30,,167,Negative
416,21,,Facebook,40,25,1,10,4,12,82,Positive
417,35,Female,Instagram,125,46,5,65,22,28,137,Negative
418,,Male,Twitter,90,60,3,40,16,,187,Negative
419,23,Male,LinkedIn,50,15,1,12,6,12,131,Positive
420,32,Female,Instagram,140,26,6,75,28,30,65,Positive
421,26,Male,Facebook,75,55,,30,14,20,123,Negative
422,24,,Twitter,105,61,4,35,,23,100,Negative
423,29,Male,LinkedIn,60,35,2,17,8,15,196,Positive
424,33,Female,Instagram,190,66,8,105,36,50,82,Positive
425,22,Female,Twitter,70,70,3,25,16,15,84,Negative
426,31,Male,Facebook,80,35,2,20,10,20,15,Positive
427,,Male,LinkedIn,55,35,1,12,5,11,189,Negative
428,25,Female,Instagram,160,119,6,,26,30,178,Positive
429,30,Male,Twitter,90,73,,43,19,24,161,Negative
430,,Female,Facebook,45,20,1,8,4,12,166,Negative
431,34,Female,LinkedIn,65,77,2,17,5,,129,Positive
432,28,,Instagram,145,82,7,80,30,35,163,Positive
433,23,Male,Twitter,70,50,3,30,14,18,179,Positive
434,21,Female,Instagram,,75,6,95,22,28,58,Negative
435,29,Male,,65,25,2,27,11,22,88,Negative
436,24,Female,LinkedIn,55,45,1,11,6,11,147,Positive
437,33,Female,Instagram,170,85,7,95,30,38,227,Positive
438,27,Male,Twitter,85,40,4,45,18,24,174,Negative
439,22,Female,Instagram,115,22,3,60,17,30,67,Positive
440,,Female,Facebook,100,74,2,22,12,25,159,Negative
441,31,Male,LinkedIn,45,35,1,9,4,10,183,Negative
442,25,Female,Instagram,150,95,,90,26,30,74,Positive
443,29,,Twitter,95,35,4,50,,22,89,Negative
444,23,Female,,105,5,2,25,12,18,145,Positive
445,35,Female,LinkedIn,,9,1,15,7,14,119,Positive
446,30,Male,Instagram,175,90,7,100,33,38,176,Positive
447,21,Female,Twitter,90,65,3,37,14,20,48,Negative
448,26,,Facebook,75,35,2,30,12,18,234,Negative
449,32,Male,Instagram,130,30,5,80,28,31,34,Positive
450,28,Female,LinkedIn,55,20,1,12,6,10,164,Positive
451,27,Male,,165,163,6,85,30,,13,Positive
452,24,Female,Twitter,75,6,3,33,18,19,193,Negative
453,29,,Facebook,85,70,2,27,9,20,94,Positive
454,33,Female,Instagram,145,75,4,65,23,35,28,Negative
455,31,Male,LinkedIn,60,168,1,15,7,17,90,Negative
456,22,Female,Whatsapp,70,55,2,42,10,21,156,Negative
457,25,Male,Telegram,90,40,3,22,11,22,67,Positive
458,29,Female,Snapchat,50,35,2,18,7,18,192,Negative
459,28,,Twitter,95,70,4,48,22,25,127,Positive
460,,Male,Facebook,60,35,1,12,5,15,100,Positive
461,30,,Instagram,,202,6,72,30,33,237,Positive
462,23,Male,Whatsapp,70,0,3,,10,18,150,Negative
463,34,Male,Telegram,80,45,2,21,8,20,124,Positive
464,26,Female,Snapchat,120,103,4,55,18,,50,Negative
465,25,Male,Twitter,90,32,6,42,14,26,234,Negative
