User_ID,Age,Gender,Platform,Daily_Usage_Time (minutes),Late_Night_Usage,Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Notifications_per_Day,Dominant_Emotion
50,28,Female,LinkedIn,55,51,1,8,4,10,178,Boredom
51,27,Male,,165,92,6,78,22,27,64,Happiness
52,24,Female,Twitter,75,45,3,29,15,,20,Anger
53,29,Non-binary,Facebook,85,45,2,25,7,20,17,Neutral
54,33,,,145,93,4,60,18,35,247,Sadness
55,31,Male,LinkedIn,60,30,1,10,3,17,74,Anxiety
56,22,Female,Whatsapp,70,58,2,40,8,21,199,Anxiety
57,25,Male,Telegram,90,43,3,20,10,22,181,Boredom
58,29,Non-binary,Snapchat,50,10,2,15,5,18,241,Sadness
59,28,Female,Twitter,95,60,4,45,20,25,247,Happiness
60,27,Male,Facebook,,143,1,10,4,15,106,Boredom
61,30,Female,Instagram,175,61,6,70,23,33,78,Happiness
62,23,Male,,70,60,3,20,8,18,11,Anger
63,34,Non-binary,Telegram,80,73,2,18,7,,145,Neutral
64,26,Female,,120,65,4,50,15,30,167,Anxiety
65,25,Male,Twitter,90,12,6,40,12,26,170,Sadness
66,29,Non-binary,Facebook,60,25,1,8,2,12,122,Boredom
67,28,Male,Instagram,165,114,5,75,18,35,100,Happiness
68,31,Female,Whatsapp,65,52,2,25,8,20,170,Neutral
69,27,Male,Telegram,105,50,3,45,15,28,12,Anxiety
70,22,Non-binary,Snapchat,75,66,2,18,6,20,55,Sadness
71,24,Female,,140,79,4,,18,30,34,Happiness
72,35,Male,Twitter,70,35,,12,7,10,31,Boredom
73,21,Non-binary,Facebook,,141,3,15,5,12,136,Neutral
74,29,Female,Whatsapp,90,50,2,20,9,22,166,Anger
75,25,Male,Telegram,80,60,4,28,11,25,61,Neutral
76,28,Non-binary,,115,77,,36,12,27,204,Anxiety
77,32,Female,Instagram,155,63,6,72,20,38,103,Happiness
78,26,Male,Twitter,75,30,2,22,10,18,65,Sadness
79,33,Non-binary,Facebook,65,40,1,,5,14,121,Anxiety
80,27,Female,Whatsapp,90,50,4,35,14,20,138,Neutral
81,31,Male,Telegram,50,30,2,18,6,12,214,Sadness
82,24,Non-binary,Snapchat,85,134,3,30,13,18,155,Happiness
83,34,Female,Instagram,120,40,5,55,19,25,234,Anger
84,22,Male,Twitter,70,45,1,20,5,22,13,Neutral
85,29,Non-binary,Facebook,75,55,,,8,20,170,Boredom
86,,Female,Whatsapp,,75,4,,12,26,174,Anxiety
87,31,Male,Telegram,85,36,3,40,15,28,226,Sadness
88,21,,Snapchat,60,25,1,15,5,12,145,Neutral
89,25,Female,Instagram,170,113,6,78,22,33,108,Happiness
90,30,Male,Twitter,,86,2,28,10,20,163,Anxiety
91,27,Non-binary,,50,15,1,8,2,10,14,Boredom
92,32,Female,Whatsapp,105,98,4,50,18,25,234,Anger
93,24,Male,Telegram,75,60,3,33,13,22,87,Neutral
94,29,Female,Snapchat,95,82,2,20,7,28,132,Sadness
95,26,Male,Instagram,150,125,5,65,20,30,72,Anxiety
96,33,Non-binary,Twitter,85,24,4,30,13,18,165,Boredom
97,22,Female,Facebook,70,50,1,12,5,10,33,Neutral
98,35,Male,Whatsapp,110,27,3,45,20,25,45,Happiness
99,28,Non-binary,Telegram,60,30,2,15,6,18,155,Anger
100,27,Female,Snapchat,120,136,4,38,,,98,Neutral
101,,Female,Instagram,120,62,5,50,20,,106,Happiness
102,30,Male,Twitter,90,30,4,30,20,22,155,Anger
103,22,Non-binary,Facebook,60,40,2,20,10,15,35,Neutral
104,28,Female,Instagram,200,15,8,110,40,45,38,Anxiety
105,33,Male,LinkedIn,45,25,1,10,5,12,247,Boredom
106,21,Male,Instagram,150,109,5,65,25,30,225,Happiness
107,,Female,Twitter,85,77,3,40,18,20,29,Anger
108,24,Non-binary,Facebook,110,40,6,35,16,25,102,Sadness
109,,Female,LinkedIn,55,30,2,15,5,10,25,Neutral
110,31,Male,Instagram,170,55,7,90,35,40,118,Happiness
111,23,,Twitter,75,60,4,45,20,25,249,Anxiety
112,,Non-binary,Facebook,95,0,3,30,14,18,27,Sadness
113,34,Male,LinkedIn,65,30,1,14,6,15,112,Boredom
114,22,Female,Instagram,180,0,8,100,38,45,167,Happiness
115,28,Male,Twitter,,55,,50,,29,244,Anger
116,21,Non-binary,Facebook,40,25,1,10,4,12,45,Neutral
117,,Female,Instagram,125,44,5,65,22,28,44,Anxiety
118,27,Male,Twitter,90,56,3,40,,24,183,Sadness
119,23,Non-binary,LinkedIn,50,25,1,12,6,12,24,Neutral
120,32,Female,Instagram,140,133,6,75,,30,180,Happiness
121,26,Male,,75,71,2,30,,,94,Anxiety
122,24,Female,Twitter,105,76,4,35,20,23,185,Anger
123,29,Male,LinkedIn,60,35,2,17,8,15,48,Boredom
124,33,Non-binary,Instagram,190,104,8,105,36,50,215,Happiness
125,22,Female,Twitter,70,40,3,25,16,15,26,Sadness
126,31,Male,Facebook,80,30,2,,10,20,45,Neutral
127,27,Non-binary,,55,45,1,12,5,11,146,Anxiety
128,25,Female,Instagram,160,104,6,85,26,30,57,Happiness
129,30,Male,Twitter,90,65,4,43,19,24,105,Anger
130,26,Non-binary,Facebook,45,74,1,8,4,12,162,Sadness
131,,Female,LinkedIn,65,61,2,17,5,14,184,Boredom
132,28,,Instagram,145,120,7,80,30,35,13,Happiness
133,23,Non-binary,,70,52,3,30,14,18,23,Neutral
134,21,Female,Instagram,130,105,6,95,,28,227,Sadness
135,29,,Facebook,65,40,2,27,11,22,180,Anxiety
136,24,Non-binary,LinkedIn,,94,1,11,6,11,94,Boredom
137,33,,Instagram,170,130,7,95,30,38,203,Happiness
138,27,Male,Twitter,85,70,4,45,18,24,34,Anger
139,22,Female,Instagram,115,40,3,,17,30,35,Neutral
140,28,Non-binary,Facebook,100,79,2,22,12,25,57,Anxiety
141,31,Male,LinkedIn,45,20,1,9,,,75,Sadness
142,25,Female,Instagram,150,109,6,90,,30,24,Happiness
143,29,Male,Twitter,95,30,4,50,,,164,Anger
144,23,Non-binary,Facebook,105,55,2,25,12,18,72,Neutral
145,35,Female,LinkedIn,60,30,1,15,7,14,203,Boredom
146,,Male,Instagram,175,144,7,100,33,38,61,Happiness
147,21,Female,Twitter,90,45,3,37,14,20,71,Sadness
148,26,Non-binary,Facebook,75,35,2,30,12,18,98,Anxiety
149,32,Male,Instagram,130,112,,80,,31,149,Neutral
150,28,Female,LinkedIn,55,40,1,12,6,10,15,Boredom
151,27,Male,Instagram,165,95,6,85,30,,219,Happiness
152,24,Female,Twitter,75,60,3,33,18,,162,Anger
153,29,Non-binary,Facebook,85,34,2,27,9,20,236,Neutral
154,33,Female,Instagram,145,116,4,65,23,35,146,Sadness
155,31,Male,LinkedIn,60,44,1,15,7,,235,Anxiety
156,22,Female,Whatsapp,70,35,2,42,,21,92,Anxiety
157,25,Male,Telegram,90,85,3,22,11,22,77,Boredom
158,29,Non-binary,Snapchat,50,25,2,18,,18,219,Sadness
159,28,Female,Twitter,95,55,4,48,22,25,192,Happiness
160,27,Male,Facebook,60,25,1,12,5,15,28,Boredom
161,30,Female,Instagram,175,0,6,72,,33,76,Happiness
162,23,Male,,70,50,3,22,10,18,183,Anger
163,34,Non-binary,Telegram,80,48,2,21,8,20,126,Neutral
164,,Female,Snapchat,120,84,4,55,18,30,84,Anxiety
165,25,Male,Twitter,90,144,,42,14,26,109,Sadness
166,29,Non-binary,,60,133,1,12,,12,172,Boredom
167,28,Male,Instagram,165,102,5,78,23,35,162,Happiness
168,31,Female,Whatsapp,65,20,2,27,10,20,236,Neutral
169,27,Male,Telegram,105,10,3,48,20,28,117,Anxiety
170,22,Non-binary,Snapchat,75,65,2,21,8,20,145,Sadness
171,24,,Instagram,140,124,4,65,22,30,184,Happiness
172,35,Male,Twitter,70,52,1,13,8,10,77,Boredom
173,21,Non-binary,Facebook,55,112,3,17,7,12,190,Neutral
174,29,Female,Whatsapp,90,69,2,24,12,22,40,Anger
175,25,Male,Telegram,80,144,4,30,13,25,48,Neutral
176,,Non-binary,Snapchat,115,150,3,38,18,27,191,Anxiety
177,32,Female,Instagram,155,61,6,75,25,38,159,Happiness
178,26,Male,Twitter,75,169,2,23,12,18,185,Sadness
179,33,Non-binary,Facebook,65,45,1,13,7,14,21,Anxiety
180,27,Female,Whatsapp,90,35,4,37,18,20,140,Neutral
181,31,Male,Telegram,50,63,2,20,10,12,241,Sadness
182,24,Non-binary,Snapchat,85,25,3,33,,18,149,Happiness
183,34,Female,Instagram,,102,5,60,25,25,93,Anger
184,,Male,Twitter,70,49,1,22,7,22,203,Neutral
185,29,Non-binary,Facebook,75,0,,20,8,20,191,Boredom
186,28,Female,Whatsapp,100,47,4,37,14,26,66,Anxiety
187,31,Male,Telegram,85,65,3,45,20,28,97,Sadness
188,21,Non-binary,Snapchat,60,40,1,18,7,12,114,Neutral
189,25,Female,Instagram,170,72,6,83,30,33,63,Happiness
190,,Male,Twitter,,172,2,30,12,20,30,Anxiety
191,27,Non-binary,Facebook,50,35,1,10,4,10,214,Boredom
192,32,Female,Whatsapp,105,75,4,55,25,25,61,Anger
193,24,Male,Telegram,75,25,3,37,16,22,164,Neutral
194,29,Female,Snapchat,,41,2,23,10,28,38,Sadness
195,26,Male,Instagram,150,97,5,70,25,30,213,Anxiety
196,33,,Twitter,85,40,4,35,18,18,14,Boredom
197,22,Female,Facebook,70,81,1,14,6,10,215,Neutral
198,35,Male,Whatsapp,110,31,3,50,25,,194,Happiness
199,28,Non-binary,Telegram,60,20,2,18,8,,14,Anger
200,27,Female,,120,0,4,40,18,22,39,Neutral
201,25,Female,Instagram,120,39,5,50,20,25,222,Happiness
202,30,Male,Twitter,90,46,4,30,20,22,41,Anger
203,22,Non-binary,Facebook,60,45,,20,,15,67,Neutral
204,28,Female,Instagram,200,135,8,110,40,45,192,Anxiety
205,33,Male,LinkedIn,45,30,1,,5,12,18,Boredom
206,21,,Instagram,150,70,5,65,25,30,24,Happiness
207,27,Female,Twitter,85,30,,40,18,20,33,Anger
208,,Non-binary,Facebook,110,50,,35,16,25,27,Sadness
209,29,Female,LinkedIn,55,0,2,15,5,10,224,Neutral
210,31,Male,Instagram,170,151,7,,35,40,112,Happiness
211,23,Female,Twitter,75,35,4,,20,25,155,Anxiety
212,26,Non-binary,Facebook,,114,3,,14,18,212,Sadness
213,,Male,LinkedIn,65,45,1,14,6,15,135,Boredom
214,22,Female,Instagram,180,128,8,100,38,45,106,Happiness
215,28,Male,Twitter,100,65,6,50,30,29,246,Anger
216,21,Non-binary,Facebook,40,30,1,10,,12,74,Neutral
217,35,Female,Instagram,125,70,,65,22,28,196,Anxiety
218,27,Male,Twitter,90,110,3,40,16,24,34,Sadness
219,23,,LinkedIn,50,16,1,12,6,12,32,Neutral
220,32,Female,,140,0,6,75,28,30,191,Happiness
221,,Male,Facebook,75,40,2,30,,20,129,Anxiety
222,24,Female,Twitter,105,65,4,35,20,23,243,Anger
223,29,Male,LinkedIn,60,20,,17,8,15,138,Boredom
224,33,Non-binary,Instagram,190,174,8,105,36,50,185,Happiness
225,22,Female,Twitter,70,50,3,25,16,15,159,Sadness
226,31,Male,Facebook,80,60,2,20,10,20,217,Neutral
227,27,Non-binary,LinkedIn,55,40,1,12,5,11,243,Anxiety
228,,Female,Instagram,160,27,6,85,26,30,188,Happiness
229,30,Male,Twitter,90,84,4,43,19,24,73,Anger
230,26,Non-binary,Facebook,45,25,1,8,4,12,62,Sadness
231,,Female,LinkedIn,65,45,2,17,5,14,223,Boredom
232,28,Male,Instagram,145,0,7,80,30,35,186,Happiness
233,23,Non-binary,Twitter,70,0,3,30,14,18,156,Neutral
234,21,Female,Instagram,130,47,6,,22,28,10,Sadness
235,29,Male,Facebook,65,35,2,27,11,22,41,Anxiety
236,24,Non-binary,LinkedIn,55,30,1,11,6,11,21,Boredom
237,,Female,Instagram,170,98,7,95,30,38,161,Happiness
238,27,Male,Twitter,85,19,4,,18,24,203,Anger
239,22,Female,Instagram,115,98,3,,17,30,196,Neutral
240,28,,Facebook,100,0,2,22,12,25,41,Anxiety
241,31,,LinkedIn,45,25,1,9,4,10,19,Sadness
242,25,Female,Instagram,150,45,6,90,26,,182,Happiness
243,29,Male,Twitter,95,46,4,50,22,22,52,Anger
244,23,Non-binary,Facebook,105,40,2,25,12,18,100,Neutral
245,,Female,LinkedIn,60,51,1,15,7,14,61,Boredom
246,30,Male,Instagram,175,98,7,100,33,38,134,Happiness
247,21,Female,Twitter,90,83,3,37,14,20,93,Sadness
248,,Non-binary,Facebook,75,95,2,30,12,18,153,Anxiety
249,32,Male,Instagram,130,40,5,80,28,,105,Neutral
250,28,Female,LinkedIn,,138,1,12,6,10,124,Boredom
251,27,Male,Instagram,165,53,6,,30,28,123,Happiness
252,24,Female,Twitter,75,0,3,33,18,19,201,Anger
253,29,Non-binary,Facebook,85,55,2,27,9,20,197,Neutral
254,33,Female,Instagram,145,131,4,65,23,35,20,Sadness
255,,Male,LinkedIn,,99,1,15,7,17,136,Anxiety
256,22,Female,Whatsapp,70,60,2,42,10,21,185,Anxiety
257,25,Male,,90,45,3,22,11,22,46,Boredom
258,29,Non-binary,Snapchat,50,0,2,18,7,18,236,Sadness
259,28,,,95,48,4,48,22,25,45,Happiness
260,27,Male,Facebook,60,11,1,12,,15,20,Boredom
261,30,Female,Instagram,175,110,6,72,30,33,47,Happiness
262,23,Male,Whatsapp,70,65,,22,10,,214,Anger
263,34,Non-binary,Telegram,80,204,2,,8,20,186,Neutral
264,26,Female,Snapchat,120,91,4,55,18,30,17,Anxiety
265,25,,,90,77,6,42,14,26,238,Sadness
266,29,Non-binary,Facebook,60,35,1,12,4,12,65,Boredom
267,28,Male,Instagram,165,50,5,78,23,35,159,Happiness
268,31,Female,Whatsapp,65,31,2,27,10,20,52,Neutral
269,27,Male,Telegram,105,85,3,48,20,28,190,Anxiety
270,22,Non-binary,Snapchat,75,64,2,21,8,20,40,Sadness
271,24,Female,,,143,4,65,22,30,11,Happiness
272,35,Male,,70,30,1,13,8,,127,Boredom
273,21,Non-binary,Facebook,55,30,3,17,7,12,234,Neutral
274,29,,Whatsapp,,94,2,24,12,22,57,Anger
275,25,Male,Telegram,80,55,4,30,13,25,75,Neutral
276,28,Non-binary,Snapchat,115,112,3,38,18,27,87,Anxiety
277,32,Female,Instagram,155,69,6,75,25,38,238,Happiness
278,26,Male,Twitter,75,0,2,23,12,18,144,Sadness
279,,Non-binary,Facebook,65,30,1,13,7,14,104,Anxiety
280,27,,Whatsapp,90,65,4,37,18,20,201,Neutral
281,31,Male,Telegram,50,16,2,20,10,12,189,Sadness
282,24,Non-binary,Snapchat,85,132,,33,20,,244,Happiness
283,34,Female,Instagram,120,69,5,60,25,25,69,Anger
284,22,Male,Twitter,70,0,,22,7,22,21,Neutral
285,29,Non-binary,Facebook,75,25,2,20,8,20,147,Boredom
286,28,Female,Whatsapp,100,54,4,37,14,26,180,Anxiety
287,31,Male,Telegram,85,0,3,45,20,,71,Sadness
288,21,Non-binary,Snapchat,60,30,1,18,7,12,216,Neutral
289,25,Female,Instagram,,33,6,83,30,33,154,Happiness
290,30,Male,Twitter,70,25,2,30,12,20,162,Anxiety
291,27,Non-binary,Facebook,50,42,,10,4,10,219,Boredom
292,32,Female,Whatsapp,105,85,4,55,25,25,179,Anger
293,24,Male,Telegram,75,55,3,37,,,198,Neutral
294,29,Female,Snapchat,95,60,2,23,10,28,30,Sadness
295,26,Male,Instagram,150,49,5,70,25,30,229,Anxiety
296,33,Non-binary,Twitter,85,65,4,35,18,18,169,Boredom
297,22,Female,Facebook,70,117,1,14,6,10,238,Neutral
298,35,Male,Whatsapp,,70,3,50,25,25,176,Happiness
299,28,Non-binary,Telegram,60,45,2,,8,18,239,Anger
300,27,Female,Snapchat,120,35,4,40,18,22,214,Neutral
301,25,Female,Instagram,120,21,5,50,20,25,12,Happiness
302,30,Male,Twitter,90,85,4,30,20,22,216,Anger
303,22,Non-binary,Facebook,60,25,2,20,10,15,114,Neutral
304,28,Female,Instagram,200,113,,110,40,45,203,Anxiety
305,33,Male,LinkedIn,45,35,1,,5,12,66,Boredom
306,21,Male,Instagram,150,90,5,65,25,30,125,Happiness
307,27,Female,Twitter,,20,3,40,18,20,84,Anger
308,24,,,110,80,,35,16,25,85,Sadness
309,29,,LinkedIn,55,45,2,15,5,10,234,Neutral
310,31,Male,Instagram,170,163,7,90,35,40,181,Happiness
311,23,Female,Twitter,75,35,4,45,20,25,149,Anxiety
312,26,Non-binary,Facebook,95,107,3,30,14,18,175,Sadness
313,34,Male,,65,25,1,14,6,15,84,Boredom
314,22,,Instagram,180,133,8,100,38,45,169,Happiness
315,28,Male,Twitter,100,45,6,50,30,29,175,Anger
316,21,Non-binary,Facebook,40,20,1,10,4,12,82,Neutral
317,35,Female,Instagram,125,98,5,65,22,28,206,Anxiety
318,27,,Twitter,90,1,3,40,16,24,212,Sadness
319,23,Non-binary,LinkedIn,50,44,,12,6,12,67,Neutral
320,32,Female,Instagram,140,125,6,75,28,30,164,Happiness
321,26,Male,Facebook,75,0,2,30,14,20,38,Anxiety
322,24,Female,Twitter,105,95,4,35,20,23,69,Anger
323,29,Male,LinkedIn,60,45,2,17,8,,217,Boredom
324,33,Non-binary,Instagram,190,111,8,105,36,50,99,Happiness
325,22,Female,Twitter,70,0,3,25,,15,55,Sadness
326,31,Male,Facebook,80,0,2,20,10,20,208,Neutral
327,27,Non-binary,,55,45,1,12,5,11,227,Anxiety
328,25,Female,,160,96,6,85,,30,80,Happiness
329,,Male,Twitter,90,25,4,43,19,24,105,Anger
330,26,Non-binary,Facebook,45,25,1,8,4,12,67,Sadness
331,34,Female,,65,35,2,17,5,14,136,Boredom
332,28,Male,Instagram,145,0,7,80,30,35,129,Happiness
333,23,Non-binary,Twitter,70,30,3,30,14,18,69,Neutral
334,21,Female,,130,50,6,95,22,28,178,Sadness
335,29,Male,Facebook,65,30,2,27,11,22,75,Anxiety
336,24,Non-binary,LinkedIn,55,45,1,11,6,11,70,Boredom
337,33,Female,Instagram,170,58,7,95,,38,229,Happiness
338,27,Male,Twitter,,169,4,45,18,24,107,Anger
339,22,Female,Instagram,115,157,3,60,17,30,84,Neutral
340,28,Non-binary,Facebook,100,0,2,22,12,25,154,Anxiety
341,,,LinkedIn,45,20,1,9,4,10,203,Sadness
342,25,Female,Instagram,150,48,6,90,26,30,167,Happiness
343,29,Male,Twitter,,199,4,50,22,22,34,Anger
344,23,Non-binary,Facebook,105,19,2,25,12,18,245,Neutral
345,35,Female,LinkedIn,60,35,1,15,,14,203,Boredom
346,30,Male,Instagram,175,59,7,100,33,38,124,Happiness
347,21,Female,Twitter,90,82,3,37,14,20,174,Sadness
348,26,Non-binary,,75,50,2,30,12,18,131,Anxiety
349,32,,Instagram,130,50,5,80,28,31,232,Neutral
350,28,Female,LinkedIn,55,25,1,12,6,10,241,Boredom
351,27,Male,Instagram,165,107,6,85,30,28,129,Happiness
352,24,Female,Twitter,75,65,3,33,18,19,203,Anger
353,29,Non-binary,Facebook,85,70,2,27,9,20,186,Neutral
354,33,Female,Instagram,145,65,4,65,23,35,93,Sadness
355,31,Male,LinkedIn,60,35,1,15,,17,226,Anxiety
356,22,Female,Whatsapp,70,35,2,42,,21,76,Anxiety
357,25,Male,Telegram,90,59,3,22,11,22,239,Boredom
358,29,Non-binary,Snapchat,50,49,2,18,7,18,89,Sadness
359,28,Female,Twitter,95,19,4,48,22,25,241,Happiness
360,27,Male,Facebook,60,25,1,12,5,15,47,Boredom
361,30,Female,Instagram,175,98,6,72,30,33,103,Happiness
362,23,,Whatsapp,70,20,3,22,10,18,237,Anger
363,34,Non-binary,Telegram,80,121,2,,,20,237,Neutral
364,26,Female,,120,17,4,55,18,30,188,Anxiety
365,25,Male,Twitter,90,55,6,42,14,26,86,Sadness
366,29,Non-binary,Facebook,,107,1,,4,12,189,Boredom
367,28,Male,Instagram,165,149,5,,23,35,77,Happiness
368,,Female,Whatsapp,65,35,2,27,10,20,122,Neutral
369,27,Male,Telegram,105,43,3,48,20,28,12,Anxiety
370,,Non-binary,Snapchat,75,72,,21,8,20,35,Sadness
371,24,Female,Instagram,140,0,4,65,22,30,121,Happiness
372,35,Male,Twitter,,102,1,13,8,10,73,Boredom
373,21,Non-binary,Facebook,55,20,3,17,7,12,80,Neutral
374,,Female,Whatsapp,90,40,2,24,,22,50,Anger
375,25,Male,Telegram,80,0,4,30,13,25,227,Neutral
376,28,,Snapchat,115,86,3,38,18,27,139,Anxiety
377,32,Female,Instagram,155,74,6,75,25,38,211,Happiness
378,26,Male,Twitter,75,22,2,23,12,18,107,Sadness
379,33,Non-binary,Facebook,,11,1,13,7,14,247,Anxiety
380,27,Female,Whatsapp,90,27,4,37,,20,100,Neutral
381,31,Male,Telegram,50,40,2,20,10,12,143,Sadness
382,24,Non-binary,Snapchat,85,35,,33,20,,20,Happiness
383,34,Female,Instagram,120,12,5,60,25,25,33,Anger
384,22,Male,Twitter,70,25,1,22,7,22,194,Neutral
385,29,Non-binary,Facebook,75,45,2,20,8,20,221,Boredom
386,28,Female,Whatsapp,100,85,4,37,14,26,133,Anxiety
387,31,,Telegram,85,8,3,45,20,28,49,Sadness
388,21,Non-binary,Snapchat,60,58,1,18,7,12,185,Neutral
389,25,Female,Instagram,170,12,,83,30,33,194,Happiness
390,30,Male,Twitter,70,30,,30,12,20,85,Anxiety
391,,Non-binary,Facebook,50,35,1,10,4,10,169,Boredom
392,32,Female,Whatsapp,105,87,4,55,25,25,160,Anger
393,24,Male,Telegram,75,0,3,37,16,22,214,Neutral
394,,Female,Snapchat,95,70,2,23,10,28,174,Sadness
395,26,Male,Instagram,150,65,5,70,25,30,37,Anxiety
396,33,Non-binary,,,170,4,35,18,18,101,Boredom
397,22,Female,Facebook,70,50,1,14,6,10,55,Neutral
398,,Male,,110,55,3,50,25,25,141,Happiness
399,28,Non-binary,Telegram,60,40,2,18,8,18,160,Anger
400,27,Female,Snapchat,120,80,4,40,18,22,211,Neutral
401,25,Female,Instagram,120,70,5,50,20,25,60,Happiness
402,30,Male,Twitter,90,49,4,30,20,22,196,Anger
403,22,Non-binary,Facebook,60,58,2,20,10,15,245,Neutral
404,28,Female,Instagram,200,72,8,110,40,45,99,Anxiety
405,33,Male,LinkedIn,45,15,1,10,5,12,166,Boredom
406,21,Male,Instagram,150,100,5,65,25,30,115,Happiness
407,27,Female,Twitter,85,65,,40,18,20,27,Anger
408,24,Non-binary,Facebook,110,19,6,35,16,25,194,Sadness
409,29,Female,LinkedIn,55,25,2,15,5,,44,Neutral
410,31,Male,Instagram,170,79,7,90,35,40,183,Happiness
411,23,,Twitter,75,0,4,45,20,25,194,Anxiety
412,26,Non-binary,Facebook,95,68,3,30,14,18,153,Sadness
413,34,,LinkedIn,65,25,1,14,6,15,58,Boredom
414,22,,Instagram,180,120,8,100,38,45,46,Happiness
415,28,Male,Twitter,100,30,6,50,30,,167,Anger
416,21,,Facebook,40,25,1,10,4,12,82,Neutral
417,35,Female,Instagram,125,46,5,65,22,28,137,Anxiety
418,,Male,Twitter,90,60,3,40,16,,187,Sadness
419,23,Non-binary,LinkedIn,50,15,1,12,6,12,131,Neutral
420,32,Female,Instagram,140,26,6,75,28,30,65,Happiness
421,26,Male,Facebook,75,55,,30,14,20,123,Anxiety
422,24,,Twitter,105,61,4,35,,23,100,Anger
423,29,Male,LinkedIn,60,35,2,17,8,15,196,Boredom
424,33,Non-binary,Instagram,190,66,8,105,36,50,82,Happiness
425,22,Female,Twitter,70,70,3,25,16,15,84,Sadness
426,31,Male,Facebook,80,35,2,20,10,20,15,Neutral
427,,Non-binary,LinkedIn,55,35,1,12,5,11,189,Anxiety
428,25,Female,Instagram,160,119,6,,26,30,178,Happiness
429,30,Male,Twitter,90,73,,43,19,24,161,Anger
430,,Non-binary,Facebook,45,20,1,8,4,12,166,Sadness
431,34,Female,LinkedIn,65,77,2,17,5,,129,Boredom
432,28,,Instagram,145,82,7,80,30,35,163,Happiness
433,23,Non-binary,Twitter,70,50,3,30,14,18,179,Neutral
434,21,Female,Instagram,,75,6,95,22,28,58,Sadness
435,29,Male,,65,25,2,27,11,22,88,Anxiety
436,24,Non-binary,LinkedIn,55,45,1,11,6,11,147,Boredom
437,33,Female,Instagram,170,85,7,95,30,38,227,Happiness
438,27,Male,Twitter,85,40,4,45,18,24,174,Anger
439,22,Female,Instagram,115,22,3,60,17,30,67,Neutral
